,Language,CER,UTMOS,SECS
0,ar,3.3503,2.8658 ± 0.31,0.5007
1,cs,1.3295,2.8704 ± 0.31,0.4652
2,de,3.1694,3.2654 ± 0.29,0.5155
3,en,0.5425,3.9987 ± 0.25,0.6416
4,es,1.4606,3.0225 ± 0.38,0.5379
5,fr,1.4937,3.1339 ± 0.34,0.4792
6,hu,1.4622,2.8927 ± 0.35,0.4562
7,it,0.7982,3.0924 ± 0.32,0.5012
8,ja,5.3748,3.222 ± 0.34,0.5221
9,ko,4.0647,3.0826 ± 0.33,0.4772
10,nl,0.946,3.1308 ± 0.34,0.4827
11,pl,0.7593,3.2249 ± 0.31,0.484
12,pt,1.1068,3.2017 ± 0.41,0.503
13,ru,0.932,3.1399 ± 0.33,0.5011
14,tr,1.042,3.1054 ± 0.32,0.5028
15,zh,5.2016,3.147 ± 0.41,0.5023
mean,,2.0646,3.1498 ± 0.26,0.5045
