|      | Language   |    CER | UTMOS         |   SECS |
|:-----|:-----------|-------:|:--------------|-------:|
| 0    | ar         | 3.3503 | 2.8837 ± 0.31 | 0.5007 |
| 1    | cs         | 1.3295 | 2.884 ± 0.31  | 0.4655 |
| 2    | de         | 3.1694 | 3.2783 ± 0.3  | 0.5175 |
| 3    | en         | 0.5425 | 4.007 ± 0.25  | 0.6423 |
| 4    | es         | 1.4606 | 3.0373 ± 0.38 | 0.5371 |
| 5    | fr         | 1.4937 | 3.1478 ± 0.34 | 0.4799 |
| 6    | hu         | 1.4622 | 2.9038 ± 0.35 | 0.457  |
| 7    | it         | 0.7982 | 3.1052 ± 0.32 | 0.5008 |
| 8    | ja         | 5.3748 | 3.2387 ± 0.34 | 0.5207 |
| 9    | ko         | 4.0647 | 3.0928 ± 0.33 | 0.476  |
| 10   | nl         | 0.946  | 3.1498 ± 0.34 | 0.4825 |
| 11   | pl         | 0.7593 | 3.2375 ± 0.31 | 0.4833 |
| 12   | pt         | 1.1068 | 3.2097 ± 0.41 | 0.5033 |
| 13   | ru         | 0.932  | 3.1505 ± 0.33 | 0.5012 |
| 14   | tr         | 1.042  | 3.1204 ± 0.32 | 0.5031 |
| 15   | zh         | 7.5639 | 3.1645 ± 0.41 | 0.5023 |
| mean | nan        | 2.2122 | 3.1632 ± 0.26 | 0.5046 |
