,Language,CER,UTMOS,SECS
0,ar,11.1713,2.6645 ± 0.35,0.4412
1,cs,4.0174,3.1426 ± 0.32,0.4505
2,de,2.2411,3.1725 ± 0.33,0.4638
3,en,2.9727,3.6869 ± 0.29,0.5711
4,es,1.0926,3.0133 ± 0.3,0.4895
5,fr,3.3965,2.9516 ± 0.32,0.4404
6,hu,4.5098,3.1613 ± 0.33,0.4827
7,it,1.701,3.0304 ± 0.32,0.4542
8,ja,10.2808,3.2942 ± 0.3,0.4874
9,ko,8.8567,3.238 ± 0.31,0.4841
10,nl,3.4228,3.2192 ± 0.29,0.4286
11,pl,1.5925,3.1562 ± 0.3,0.4588
12,pt,1.5481,3.159 ± 0.32,0.4715
13,ru,2.8566,3.0633 ± 0.32,0.4641
14,tr,2.6367,3.1123 ± 0.31,0.4859
15,zh,14.422,3.3507 ± 0.33,0.4825
mean,,4.7949,3.151 ± 0.21,0.4723
