|      | Language   |     CER | UTMOS         |   SECS |
|:-----|:-----------|--------:|:--------------|-------:|
| 0    | ar         | 11.1713 | 2.6573 ± 0.34 | 0.44   |
| 1    | cs         |  4.0174 | 3.1398 ± 0.32 | 0.4496 |
| 2    | de         |  2.2411 | 3.1674 ± 0.33 | 0.4612 |
| 3    | en         |  2.9727 | 3.6821 ± 0.29 | 0.5651 |
| 4    | es         |  1.0926 | 3.0109 ± 0.3  | 0.4879 |
| 5    | fr         |  3.3965 | 2.9464 ± 0.31 | 0.4376 |
| 6    | hu         |  4.5098 | 3.1578 ± 0.33 | 0.4819 |
| 7    | it         |  1.701  | 3.028 ± 0.32  | 0.452  |
| 8    | ja         | 10.2808 | 3.2919 ± 0.3  | 0.4873 |
| 9    | ko         |  8.8567 | 3.2366 ± 0.31 | 0.4836 |
| 10   | nl         |  3.4228 | 3.2113 ± 0.29 | 0.4269 |
| 11   | pl         |  1.5925 | 3.1545 ± 0.3  | 0.4561 |
| 12   | pt         |  1.5481 | 3.1578 ± 0.32 | 0.4693 |
| 13   | ru         |  2.8566 | 3.0631 ± 0.32 | 0.4606 |
| 14   | tr         |  2.6367 | 3.1107 ± 0.31 | 0.4855 |
| 15   | zh         | 15.9075 | 3.3421 ± 0.32 | 0.4825 |
| mean | nan        |  4.8878 | 3.1474 ± 0.21 | 0.4704 |
