speaker_reference,text,generated_wav,language
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," Desde quando o governo federal interveio para tomar conta do financiamento do hospital Mersey em Devonport, Tasmânia, o governo estadual e alguns deputados federais não gostaram desse ato e o classificaram como uma manobra no prelúdio da eleição federal que irá ser convocada em novembro.",Evaluation/YourTTS_original/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_pt_0.wav,pt
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," Et depuis, le gouvernement fédéral a pris les devants en se chargeant du financement du Mersey Hospital à Devonport, en Tasmanie. Le gouvernement d'état et certains parlementaires ont qualifié cet acte de farce à l'approche des élections de novembre.",Evaluation/YourTTS_original/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_fr_1.wav,fr
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.",Evaluation/YourTTS_original/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_2.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," A estrutura das penas sugere que não foram utilizadas em voo, mas sim, para se exibir ou regular a temperatura. Os pesquisadores sugeriram que, embora esta seja a cauda de um jovem dinossauro, a amostra tem a plumagem de um adulto, e não a de um filhote.",Evaluation/YourTTS_original/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_pt_3.wav,pt
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," La structure des plumes suggère qu’elles n’étaient pas utilisées en vol mais plutôt pour la régulation ou l’affichage de la température. Les chercheurs ont suggéré que, même s’il s’agit de la queue d’un jeune dinosaure, l’échantillon montre un plumage d’adulte et non le duvet d’un poussin.",Evaluation/YourTTS_original/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_fr_4.wav,fr
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",Evaluation/YourTTS_original/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_5.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," Um dos métodos mais comuns utilizados para ilustrar a importância da socialização é recorrer aos poucos casos lamentáveis de crianças que foram, através da negligência, infortúnio, ou do abuso intencional, não socializados por adultos enquanto estavam crescendo.",Evaluation/YourTTS_original/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_pt_6.wav,pt
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," L'une des méthodes les plus courantes utilisées pour illustrer l'importance de la socialisation est de s'inspirer des quelques cas malheureux d'enfants qui, par négligence, malheur ou abus volontaire, n'ont pas été socialisés par des adultes pendant leur enfance.",Evaluation/YourTTS_original/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_fr_7.wav,fr
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," One of the most common methods used to illustrate the importance of socialization is to draw upon the few unfortunate cases of children who were, through neglect, misfortune, or wilful abuse, not socialized by adults while they were growing up.",Evaluation/YourTTS_original/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_8.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," Por exemplo, cada ano, estudantes da Bennet School, da Carolina do Norte, desenvolvem um site sobre sua viagem para a capital do estado. Todo ano, o site é remodelado, mas as versões antigas são mantidas on-line para servirem como livro de recordações.",Evaluation/YourTTS_original/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_pt_9.wav,pt
